region,variable,value,year,unit
Northland Region,Farm counts,4143,2017,Count
Auckland Region,Farm counts,3156,2017,Count
Waikato Region,Farm counts,9006,2017,Count
Bay of Plenty Region,Farm counts,4377,2017,Count
Gisborne Region,Farm counts,1095,2017,Count
Hawke's Bay Region,Farm counts,2706,2017,Count
Taranaki Region,Farm counts,2985,2017,Count
Manawatu-Whanganui Region,Farm counts,4806,2017,Count
Wellington Region,Farm counts,1698,2017,Count
West Coast Region,Farm counts,693,2017,Count
Canterbury Region,Farm counts,7815,2017,Count
Otago Region,Farm counts,3396,2017,Count
Southland Region,Farm counts,3402,2017,Count
Tasman Region,Farm counts,1374,2017,Count
Nelson Region,Farm counts,87,2017,Count
Marlborough Region,Farm counts,1512,2017,Count
Chatham Islands,Farm counts,42,2017,Count
New Zealand,Farm counts,52293,2017,Count
Northland Region,Farm counts,3960,2019,Count
Auckland Region,Farm counts,2928,2019,Count
Waikato Region,Farm counts,8601,2019,Count
Bay of Plenty Region,Farm counts,4236,2019,Count
Gisborne Region,Farm counts,1041,2019,Count
Hawke's Bay Region,Farm counts,2607,2019,Count
Taranaki Region,Farm counts,2829,2019,Count
Manawatu-Whanganui Region,Farm counts,4647,2019,Count
Wellington Region,Farm counts,1569,2019,Count
West Coast Region,Farm counts,654,2019,Count
Canterbury Region,Farm counts,7161,2019,Count
Otago Region,Farm counts,3333,2019,Count
Southland Region,Farm counts,3189,2019,Count
Tasman Region,Farm counts,1242,2019,Count
Nelson Region,Farm counts,69,2019,Count
Marlborough Region,Farm counts,1428,2019,Count
Chatham Islands,Farm counts,39,2019,Count
New Zealand,Farm counts,49530,2019,Count
Northland Region,Total farm area,724564.3,2017,Hectares
Auckland Region,Total farm area,287639.4,2017,Hectares
Waikato Region,Total farm area,1552321.4,2017,Hectares
Bay of Plenty Region,Total farm area,610282,2017,Hectares
Gisborne Region,Total farm area,561325.7,2017,Hectares
Hawke's Bay Region,Total farm area,872612.2,2017,Hectares
Taranaki Region,Total farm area,451999.7,2017,Hectares
Manawatu-Whanganui Region,Total farm area,1423619.4,2017,Hectares
Wellington Region,Total farm area,455764,2017,Hectares
West Coast Region,Total farm area,187246.8,2017,Hectares
Canterbury Region,Total farm area,2740335.7,2017,Hectares
Otago Region,Total farm area,2075906.4,2017,Hectares
Southland Region,Total farm area,1179116.4,2017,Hectares
Tasman Region,Total farm area,216936.8,2017,Hectares
Nelson Region,Total farm area,18292.9,2017,Hectares
Marlborough Region,Total farm area,492406.6,2017,Hectares
Chatham Islands,Total farm area,50037.5,2017,Hectares
New Zealand,Total farm area,13900407.2,2017,Hectares
Northland Region,Total farm area,706668.4,2019,Hectares
Auckland Region,Total farm area,268632,2019,Hectares
Waikato Region,Total farm area,1528315.7,2019,Hectares
Bay of Plenty Region,Total farm area,581936.8,2019,Hectares
Gisborne Region,Total farm area,533264.6,2019,Hectares
Hawke's Bay Region,Total farm area,907310.9,2019,Hectares
Taranaki Region,Total farm area,452313,2019,Hectares
Manawatu-Whanganui Region,Total farm area,1363691.6,2019,Hectares
Wellington Region,Total farm area,454627.8,2019,Hectares
West Coast Region,Total farm area,191725,2019,Hectares
Canterbury Region,Total farm area,2575683.8,2019,Hectares
Otago Region,Total farm area,2139291,2019,Hectares
Southland Region,Total farm area,1054669.9,2019,Hectares
Tasman Region,Total farm area,213822,2019,Hectares
Nelson Region,Total farm area,23418.4,2019,Hectares
Marlborough Region,Total farm area,511355.9,2019,Hectares
Chatham Islands,Total farm area,54448.5,2019,Hectares
New Zealand,Total farm area,13561175.3,2019,Hectares
Northland Region,Total farm area,809897,2002,Hectares
Auckland Region,Total farm area,301801,2002,Hectares
Waikato Region,Total farm area,1730266,2002,Hectares
Bay of Plenty Region,Total farm area,599973,2002,Hectares
Gisborne Region,Total farm area,643228,2002,Hectares
Hawke's Bay Region,Total farm area,961804,2002,Hectares
Taranaki Region,Total farm area,496540,2002,Hectares
Manawatu-Whanganui Region,Total farm area,1545218,2002,Hectares
Wellington Region,Total farm area,503838,2002,Hectares
West Coast Region,Total farm area,225454,2002,Hectares
Canterbury Region,Total farm area,3150891,2002,Hectares
Otago Region,Total farm area,2378770,2002,Hectares
Southland Region,Total farm area,1198388,2002,Hectares
Tasman Region,Total farm area,277019,2002,Hectares
Nelson Region,Total farm area,21331,2002,Hectares
Marlborough Region,Total farm area,696049,2002,Hectares
New Zealand,Total farm area,15589885,2002,Hectares
