Horticulture,Area,Year,Value,Flags
Total apples (hectares),Total New Zealand,As at June 30 1994,15257,
Total apples (hectares),Total New Zealand,As at June 30 2002,11717,
Total apples (hectares),Total New Zealand,As at June 30 2003,12150,
Total apples (hectares),Total New Zealand,As at June 30 2005,10982,
Total apples (hectares),Total New Zealand,As at June 30 2007,9247,
Total apples (hectares),Total New Zealand,As at June 30 2009,9284,
Total apples (hectares),Total New Zealand,As at June 30 2011,8995,
Total apples (hectares),Total New Zealand,As at June 30 2012,8845,
Total apples (hectares),Total New Zealand,As at June 30 2014,8417,
Total apples (hectares),Total New Zealand,As at June 30 2017,8615,
Total apples (hectares),Total New Zealand,As at June 30 2019,9761,
Total apples (hectares),Total New Zealand,As at June 30 2020,9789,
Total kiwifruit (hectares),Total New Zealand,As at June 30 1994,12174,
Total kiwifruit (hectares),Total New Zealand,As at June 30 2002,11841,
Total kiwifruit (hectares),Total New Zealand,As at June 30 2003,12271,
Total kiwifruit (hectares),Total New Zealand,As at June 30 2005,12071,
Total kiwifruit (hectares),Total New Zealand,As at June 30 2007,13080,
Total kiwifruit (hectares),Total New Zealand,As at June 30 2009,13287,
Total kiwifruit (hectares),Total New Zealand,As at June 30 2011,13066,
Total kiwifruit (hectares),Total New Zealand,As at June 30 2012,12757,
Total kiwifruit (hectares),Total New Zealand,As at June 30 2014,10979,
Total kiwifruit (hectares),Total New Zealand,As at June 30 2017,11705,
Total kiwifruit (hectares),Total New Zealand,As at June 30 2019,14922,
Total kiwifruit (hectares),Total New Zealand,As at June 30 2020,15523,
Total avocados (hectares),Total New Zealand,As at June 30 1994,1375,
Total avocados (hectares),Total New Zealand,As at June 30 2002,3106,
Total avocados (hectares),Total New Zealand,As at June 30 2003,3235,
Total avocados (hectares),Total New Zealand,As at June 30 2005,3400,
Total avocados (hectares),Total New Zealand,As at June 30 2007,4004,
Total avocados (hectares),Total New Zealand,As at June 30 2009,4117,
Total avocados (hectares),Total New Zealand,As at June 30 2011,3976,
Total avocados (hectares),Total New Zealand,As at June 30 2012,4149,
Total avocados (hectares),Total New Zealand,As at June 30 2014,3893,
Total avocados (hectares),Total New Zealand,As at June 30 2017,3979,
Total avocados (hectares),Total New Zealand,As at June 30 2019,4520,
Total avocados (hectares),Total New Zealand,As at June 30 2020,4869,
Total wine grapes (hectares),Total New Zealand,As at June 30 1994,7160,
Total wine grapes (hectares),Total New Zealand,As at June 30 2002,17300,
Total wine grapes (hectares),Total New Zealand,As at June 30 2003,19646,
Total wine grapes (hectares),Total New Zealand,As at June 30 2005,24793,
Total wine grapes (hectares),Total New Zealand,As at June 30 2007,29616,
Total wine grapes (hectares),Total New Zealand,As at June 30 2009,33422,
Total wine grapes (hectares),Total New Zealand,As at June 30 2011,34060,
Total wine grapes (hectares),Total New Zealand,As at June 30 2012,34562,
Total wine grapes (hectares),Total New Zealand,As at June 30 2014,33761,
Total wine grapes (hectares),Total New Zealand,As at June 30 2017,33981,
Total wine grapes (hectares),Total New Zealand,As at June 30 2019,35970,
Total wine grapes (hectares),Total New Zealand,As at June 30 2020,35576,
Total olives (hectares),Total New Zealand,As at June 30 2002,2612,
Total olives (hectares),Total New Zealand,As at June 30 2003,2732,
Total olives (hectares),Total New Zealand,As at June 30 2005,2433,
Total olives (hectares),Total New Zealand,As at June 30 2007,2173,
Total olives (hectares),Total New Zealand,As at June 30 2009,2016,
Total olives (hectares),Total New Zealand,As at June 30 2011,1792,
Total olives (hectares),Total New Zealand,As at June 30 2012,1657,
Total olives (hectares),Total New Zealand,As at June 30 2014,1325,
Total olives (hectares),Total New Zealand,As at June 30 2017,921,
Total olives (hectares),Total New Zealand,As at June 30 2019,889,
