Region,S_ID,Latitude,Longitude
Gisborne,GDC-00002,-37.6746,178.3481
Gisborne,GDC-00003,-38.2039,178.2558
Gisborne,GDC-00004,-38.2923,178.2692
Gisborne,GDC-00016,-38.6342,177.9682
Gisborne,GDC-00020,-38.6683,178.0199
Gisborne,GDC-00021,-38.4268,177.7224
Gisborne,GDC-00024,-38.3591,177.9335
Gisborne,GDC-00027,-38.4616,177.8767
Gisborne,GDC-00032,-38.6782,178.08
Gisborne,GDC-00033,-38.6685,178.0286
Bay of Plenty,EBOP-00010,-38.0824,176.2122
Bay of Plenty,EBOP-00019,-38.1564,176.2638
Gisborne,GDC-00010,-38.3786,177.7931
Gisborne,GDC-00017,-38.7595,177.8177
Gisborne,GDC-00023,-38.5142,178.0403
Gisborne,GDC-00028,-38.6537,177.9177
Gisborne,GDC-00030,-38.5468,177.6596
Gisborne,LAWA-100348,-38.0475,178.1234
Bay of Plenty,EBOP-00012,-38.044,176.3308
Bay of Plenty,EBOP-00024,-38.0803,176.7124
Bay of Plenty,EBOP-00042,-38.0465,176.988
Bay of Plenty,EBOP-00044,-38.0943,177.288
Waikato,EW-00078,-37.5662,175.1543
Southland,ES-00002,-45.6062,167.7023
Southland,ES-00004,-45.7374,168.1204
Southland,ES-00009,-45.4471,168.1362
Southland,ES-00020,-46.5104,168.7375
Southland,ES-00021,-46.3891,168.7776
Southland,ES-00024_NIWA,-45.5583,168.5612
Southland,ES-00112,-46.3263,168.2662
Southland,ES-00121,-45.7987,167.64
Waikato,EW-00077,-37.6977,175.2068
Waikato,EW-00079,-37.2813,175.0467
Waikato,EW-00082,-38.5328,176.3037
Waikato,EW-00083,-38.407,176.0861
Waikato,EW-00084,-37.296,174.9452
Waikato,EW-00085,-38.2855,175.6852
Waikato,EW-00086,-38.4187,175.8063
Waikato,EW-00119,-38.6811,176.0699
Taranaki,TRC-00003,-39.0562,174.1851
Otago,ORC-00021,-45.9043,170.4217
Otago,ORC-00044,-45.9682,170.129
Otago,ORC-00085,-45.6161,170.5965
Otago,ORC-00095,-45.8622,170.5175
Otago,ORC-00103,-44.7501,169.1169
Otago,ORC-00131,-45.8659,169.1403
Otago,ORC-00163,-46.0248,169.6972
Waikato,EW-00001,-38.5631,174.8371
Waikato,EW-00002,-38.6706,174.7094
Waikato,EW-00004,-37.587,175.091
Waikato,EW-00005,-37.2888,175.6717
Waikato,EW-00006,-38.8546,176.0214
Waikato,EW-00008,-37.8996,175.5349
Waikato,EW-00009,-37.1574,175.5905
Waikato,EW-00010,-38.3822,176.3426
Waikato,EW-00011,-37.745,175.2615
Waikato,EW-00012,-37.6254,175.2527
Waikato,EW-00016,-38.0553,175.6968
Waikato,EW-00017,-38.3472,176.0118
Waikato,EW-00018,-38.4523,176.3175
Waikato,EW-00020,-37.8118,175.3005
Waikato,EW-00021,-38.1969,175.8394
Waikato,EW-00022,-38.6475,174.6699
Waikato,EW-00023,-38.05,175.5384
Waikato,EW-00025,-37.8092,175.3363
Waikato,EW-00026,-37.7799,175.3874
Waikato,EW-00027,-37.8169,175.5128
Waikato,EW-00030,-38.1959,175.2053
Waikato,EW-00033,-38.0982,175.3961
Waikato,EW-00034,-38.0298,175.1363
Waikato,EW-00036,-37.8906,175.4046
Waikato,EW-00037,-37.4013,175.4234
Waikato,EW-00039,-38.6904,175.9664
Waikato,EW-00040,-38.2594,174.8347
Waikato,EW-00043,-38.6841,174.7228
Waikato,EW-00044,-38.4656,175.2858
Waikato,EW-00045,-38.5709,174.9027
Waikato,EW-00046,-38.5512,174.982
Waikato,EW-00048,-37.7632,174.9725
Waikato,EW-00049,-37.4145,175.7948
Waikato,EW-00050,-37.3734,175.8667
Waikato,EW-00051,-37.7676,175.1514
Waikato,EW-00053,-37.3653,174.885
Waikato,EW-00054,-37.9221,175.7706
Waikato,EW-00056,-38.3072,176.2637
Waikato,EW-00057,-37.7022,175.6042
Waikato,EW-00058,-37.5141,175.5062
Waikato,EW-00059,-37.8251,175.6281
Waikato,EW-00060,-38.0579,175.7225
Waikato,EW-00061,-38.6149,176.2588
Waikato,EW-00064,-38.3366,176.0704
Waikato,EW-00065,-37.0747,175.7717
Waikato,EW-00066,-36.9816,175.5051
Waikato,EW-00072,-37.3846,175.2902
Waikato,EW-00073,-36.7939,175.52440000000001
Waikato,EW-00074,-38.7005,175.6838
Waikato,EW-00075,-37.7874,175.8394
Waikato,EW-00076,-38.0193,175.8141
Waikato,EW-00088,-38.004,175.919
Waikato,EW-00089,-37.8533,175.8655
Waikato,EW-00090,-38.3801,176.3467
Waikato,EW-00093,-38.0058,175.2039
Waikato,EW-00094,-38.1922,175.2086
