Region,WellName,Latitude,Longitude
Auckland,Patumahoe Springs,-37.20051676,174.8476701
Auckland,Ostrich Farm Obs NO2,-37.167386810000004,174.86981828
Auckland,Fielding Rd Sand,-37.1161675,174.96297603
Auckland,Fielding Rd Volc,-37.1161675,174.96297603
Auckland,Hillview Springs,-37.169148,174.986554
Auckland,Hickey Springs,-37.192866,174.90093
Auckland,Watson Ave,-36.88658944,174.73770314
Auckland,BP Bombay,-37.19308584,174.9822733
Auckland,Wilcox Gunclub Road,-37.20333691,174.8506121
Bay of Plenty,Bore 2504 at Beach Rd,-37.66256185,176.13979071
Bay of Plenty,Rangitaiki at Kokomoka (Bore 1001247),-38.81929036,176.48806651
Bay of Plenty,Bore 2328 at Lund Rd,-37.5961547,175.90254394
Bay of Plenty,Bore 100113 at Omokoroa Rd,-37.65211231,176.02534703
Bay of Plenty,Bore 2330 at Kauri Point,-37.51438022,175.97039803
Bay of Plenty,Bore 100130 at Capamagian Dr,-37.43718697,175.94268494
Bay of Plenty,Waitapu Spring at Paradise Valley Rd,-38.10675542,176.14599039
Bay of Plenty,Bore 10965 at Oturoa Rd,-38.03919128,176.17385253
Bay of Plenty,Bore 4007 at Dalbeth Rd,-38.05633108,176.18170343
Bay of Plenty,Bore 93 at James Rd,-37.67841823,176.08250852
Bay of Plenty,Bore 4364 at Cambridge Rd,-37.70630739,176.1247965
Bay of Plenty,Bore 3044 at Cambridge Rd,-37.70612709,176.12480026
Bay of Plenty,Bore 1561 at Hamurana Rd,-38.04320392,176.22203287
Bay of Plenty,Bore 1670 at Kairua Rd,-37.70718384,176.24989583
Bay of Plenty,Bore 1001238 at Lochinver,-38.95083042,176.40067816
Bay of Plenty,Piezo 1001239 at Lochinver,-38.95083042,176.40067816
Bay of Plenty,Bore 1001241 at Lochinver,-38.87869351,176.36464202
Bay of Plenty,Bore 1001249 at Matea Rd,-38.81426593,176.39699948
Bay of Plenty,Bore 10968 at Gee Rd,-38.13358004,176.32429304
Bay of Plenty,Bore 1001293 at Rangiuru Rd,-37.88839837,176.30371181
Bay of Plenty,Bore 1001284 at Collins Lane,-37.76355625,176.31615522
Bay of Plenty,Bore 1001287 at Collins Lane,-37.76355625,176.31615522
Bay of Plenty,Bore 1001286 at Collins Lane,-37.76355625,176.31615522
Bay of Plenty,Bore 1001285 at Collins Lane,-37.76355625,176.31615522
Bay of Plenty,Bore 1001283 at Collins Lane,-37.76355625,176.31615522
Bay of Plenty,Bore 100106 25m at Taylor Reserve,-37.71070716,176.32699654
Bay of Plenty,Bore 100107 45m at Taylor Reserve,-37.71070716,176.32699654
Bay of Plenty,Bore 1001058 73m at Taylor Reserve,-37.71070716,176.32699654
Bay of Plenty,Bore 951 at Wilson Rd South,-37.81037486,176.4157964
Bay of Plenty,Bore 410 at Coach Rd,-37.84871062,176.42379233
Bay of Plenty,Bore 2822 at Pongakawa School Rd,-37.8363726,176.47769024
Bay of Plenty,Bore 1001289 at Kelly Rd,-37.77917615,176.40895556
Bay of Plenty,Bore 1001290 at Kelly Rd,-37.77917615,176.40895556
Bay of Plenty,Bore 1018 at Maketu Rd (Warm supply),-37.77943026,176.42626596
Bay of Plenty,Bore 1000147 at Maketu Rd,-37.77752676,176.42944696
Bay of Plenty,Bore 1001059 at Otamarakau Marae,-37.82906069,176.59769744
Bay of Plenty,Pool inlet at Braemar Springs,-37.96784215,176.74009635
Bay of Plenty,Bore 170047 at Horomanga Rd,-38.37246831,176.78962602
Bay of Plenty,Bore 170048 at Horomanga Rd,-38.37246831,176.78962602
Bay of Plenty,Bore 170049 at Horomanga Rd,-38.37246831,176.78962602
Bay of Plenty,Bore 2509 at Hallett Rd (CB2509),-37.99949831,176.76711451
Bay of Plenty,Bore 3301 at Ohope Golf Club,-37.98703834,177.12810479
Bay of Plenty,Bore 3036 at Otara Rd,-38.03584698,177.31689207
Canterbury,H38/0230,-44.2723409113046,170.143320901559
Canterbury,L37/0693,-43.9636772074491,172.010946435342
Canterbury,M36/5895,-43.5482881334334,172.748130362802
Canterbury,M36/5893,-43.5480086778361,172.74798297533
Canterbury,M36/5894,-43.5481529077284,172.748056650144
Canterbury,BZ16/0073,-44.3237110612535,170.319258723454
Canterbury,BV24/0023,-42.8440052976492,172.79232510476
Canterbury,BV24/0024,-42.8436186251758,172.792632342047
Canterbury,BW24/0037,-43.3391061123916,172.706126554612
Canterbury,BZ16/0072,-44.2999184196317,170.194946650086
Canterbury,K38/1706,-44.1919479616955,171.491355707615
Canterbury,K38/1821,-44.1919387963869,171.491343428341
Canterbury,L37/0867,-43.9636862096725,172.010946285972
Canterbury,BU24/0002,-42.5324849175874,172.769091972179
Canterbury,BV24/0028,-42.9472570956634,172.835114943438
Canterbury,BV24/0069,-42.9601578670188,172.57263915085
Canterbury,BX21/0017,-43.5588864405037,171.920733489804
Canterbury,BX22/0044,-43.6496437687154,172.12814927829
Canterbury,BY20/0148,-44.0178343971799,171.435804148887
Canterbury,BY21/0228,-44.0458193817471,171.685375841137
Canterbury,BZ15/5017,-44.3368306298707,169.958105729439
Canterbury,BZ15/5018,-44.3366946748723,170.025697629522
Canterbury,BZ15/5019,-44.1950996052119,170.103073257079
Canterbury,CA15/5005,-44.4535874985975,169.9568341864
Canterbury,CA15/5006,-44.4139087036518,169.990269777203
Canterbury,CA15/5007,-44.3842869312752,169.998693874501
Canterbury,CA15/5008,-44.497690018479,169.91090550233
Canterbury,CA15/5009,-44.3941490720494,169.881017936414
Canterbury,CA17/0007,-44.6978227519036,170.503141738314
Canterbury,CA17/0008,-44.6649880342657,170.580743763009
Canterbury,CA18/0019,-44.5638467219351,171.009613540926
Canterbury,CA18/0020,-44.5289897171315,171.033039298488
Canterbury,H38/0004,-44.2352883023674,170.069219652324
Canterbury,H38/0229,-44.3100491161814,170.059141869806
Canterbury,H39/0148,-44.5225342867112,169.846963645282
Canterbury,I38/0084,-44.1538477347033,170.379473369985
Canterbury,I38/0092,-44.2953030599417,170.302264059646
Canterbury,I38/0103,-44.2693692845827,170.239890295329
Canterbury,J37/0012,-43.9839606892077,171.245913760832
Canterbury,J37/0013,-44.0366644590755,170.792136377308
Canterbury,J37/0045,-44.0337398105148,171.204747686285
