field_1,measure_ab,measure,units,sof,nzsegment,lat,long,s_id,n_obs,s,var_s,d,tau,z,p,c,cd,prop_censored,prop_unique,no_censorlevels,median,annual_sen_slope,sen_lci,sen_uci,analysis_note,percent_annual_change,trend_direction,seasonal,freq,period,end_year,trend_confidence
1,ECOLI,E. coli,cfu/100ml,WWL,5122005,-38.4616,177.8767,GDC-00027,54,-177,17951.66667,1431,-0.123689727,-1.31359135,0.188983761,0.905508119,0.905508119,0,0.626262626,0,485,-26.67828685,-70.66574688,4.753992744,ok,-5.500677702,Improving,FALSE,BiMonth,NA,2000,Very likely improving
2,ECOLI,E. coli,cfu/100ml,CWH,4084132,-38.0824,176.2122,EBOP-00010,38,172,6324,703,0.244665718,2.150305569,0.031531052,0.984234474,0.015765526,0,0.738636364,0,230,22.96117818,6.241040718,38.83610442,ok,9.98312095,Worsening,FALSE,Qtr,NA,2000,Very likely worsening
3,ECOLI,E. coli,cfu/100ml,WWL,4085815,-38.0795,177.1362,EBOP-00011,38,16,434,162,0.098765432,0.720023041,0.471510809,0.764244595,0.235755405,0,0.743902439,0,670,18.40005263,-23.56314936,90.18457384,ok,2.746276512,Worsening,TRUE,Qtr,NA,2000,Likely worsening
4,ECOLI,E. coli,cfu/100ml,CWLk,4081484,-38.044,176.3308,EBOP-00012,38,45,420.3333333,163,0.27607362,2.146128691,0.031862713,0.984068644,0.015931356,0,0.346153846,0,5,0.332347589,0,0.809965979,ok,6.646951774,Worsening,TRUE,Qtr,NA,2000,Very likely worsening
5,ECOLI,E. coli,cfu/100ml,CWH,4083343,-38.0465,176.988,EBOP-00042,38,46,432,162,0.283950617,2.165063509,0.030382822,0.984808589,0.015191411,0,0.741573034,0,65,6.505978482,0.587990625,10.7212543,ok,10.00919766,Worsening,TRUE,Qtr,NA,2000,Very likely worsening
6,ECOLI,E. coli,cfu/100ml,WXL,5063036,-37.6746,178.3481,GDC-00002,36,0,5372.666667,630,0,0,1,0.5,0.5,0,0.540816327,0,77,0,-7.598926487,6.825007124,WARNING: Sen slope based on tied non-censored values,0,Indeterminate,FALSE,Qtr,NA,2000,Indeterminate
7,ECOLI,E. coli,cfu/100ml,WWL,5100657,-38.2039,178.2558,GDC-00003,36,7,372.3333333,145,0.048275862,0.310946227,0.755841501,0.622079249,0.377920751,0,0.639175258,0,231,4.758487959,-18.46219989,16.58437855,ok,2.059951497,Indeterminate,TRUE,Qtr,NA,2000,Indeterminate
8,ECOLI,E. coli,cfu/100ml,WWL,5108000,-38.2923,178.2692,GDC-00004,36,7,372.3333333,145,0.048275862,0.310946227,0.755841501,0.622079249,0.377920751,0,0.639175258,0,297,6.056257402,-23.71134603,21.45831286,ok,2.039143906,Indeterminate,TRUE,Qtr,NA,2000,Indeterminate
9,ECOLI,E. coli,cfu/100ml,CWH,5087073,-38.0475,178.1234,LAWA-100348,37,-20,395.3333333,153,-0.130718954,-0.955590633,0.339279096,0.830360452,0.830360452,0,0.680851064,0,301.5,-18.76979167,-52.99753732,3.652324418,ok,-6.225469873,Improving,TRUE,Qtr,NA,2000,Likely improving
10,ECOLI,E. coli,cfu/100ml,CWH,4084132,-38.0824,176.2122,EBOP-00010,54,369,17956.33333,1431,0.257861635,2.746243166,0.006028206,0.996985897,0.003014103,0,0.712765957,0,240,32.94325061,12.53436485,50.75928421,ok,13.72635442,Worsening,FALSE,BiMonth,NA,2001,Very likely worsening
