Region,Year,S_ID,Indicator,MeanVal
Auckland,2009,ARC-00014,E.coli cfu/100ml,2200
Auckland,2009,ARC-00015,E.coli cfu/100ml,1900
Auckland,2009,ARC-00018,E.coli cfu/100ml,2400
Auckland,2009,ARC-00019,E.coli cfu/100ml,385
Auckland,2010,ARC-00014,E.coli cfu/100ml,2100
Auckland,2010,ARC-00015,E.coli cfu/100ml,1600
Auckland,2010,ARC-00018,E.coli cfu/100ml,2400
Auckland,2010,ARC-00019,E.coli cfu/100ml,420
Auckland,2011,ARC-00014,E.coli cfu/100ml,2300
Auckland,2011,ARC-00015,E.coli cfu/100ml,1240
Auckland,2011,ARC-00018,E.coli cfu/100ml,2300
Auckland,2011,ARC-00019,E.coli cfu/100ml,460
Auckland,2012,ARC-00014,E.coli cfu/100ml,2100
Auckland,2012,ARC-00015,E.coli cfu/100ml,1100
Auckland,2012,ARC-00018,E.coli cfu/100ml,2000
Auckland,2012,ARC-00019,E.coli cfu/100ml,550
Auckland,2013,ARC-00014,E.coli cfu/100ml,2600
Auckland,2013,ARC-00015,E.coli cfu/100ml,1090
Auckland,2013,ARC-00018,E.coli cfu/100ml,1900
Auckland,2013,ARC-00019,E.coli cfu/100ml,610
Auckland,2014,ARC-00006,E.coli cfu/100ml,200
Auckland,2014,ARC-00014,E.coli cfu/100ml,2650
Auckland,2014,ARC-00015,E.coli cfu/100ml,970
Auckland,2014,ARC-00018,E.coli cfu/100ml,1820
Auckland,2014,ARC-00019,E.coli cfu/100ml,610
Auckland,2014,ARC-00082_NIWA,E.coli cfu/100ml,231
Auckland,2014,NRWQN-00002_NIWA,E.coli cfu/100ml,125.9
Auckland,2015,ARC-00001,E.coli cfu/100ml,45
Auckland,2015,ARC-00003,E.coli cfu/100ml,380
Auckland,2015,ARC-00004,E.coli cfu/100ml,360
Auckland,2015,ARC-00005,E.coli cfu/100ml,285
Auckland,2015,ARC-00006,E.coli cfu/100ml,200
Auckland,2015,ARC-00008,E.coli cfu/100ml,210
Auckland,2015,ARC-00010,E.coli cfu/100ml,970
Auckland,2015,ARC-00011,E.coli cfu/100ml,545
Auckland,2015,ARC-00013,E.coli cfu/100ml,465
Auckland,2015,ARC-00014,E.coli cfu/100ml,2700
Auckland,2015,ARC-00015,E.coli cfu/100ml,955
Auckland,2015,ARC-00016,E.coli cfu/100ml,985
Auckland,2015,ARC-00017,E.coli cfu/100ml,320
Auckland,2015,ARC-00018,E.coli cfu/100ml,1820
Auckland,2015,ARC-00019,E.coli cfu/100ml,550
Auckland,2015,ARC-00021,E.coli cfu/100ml,1900
Auckland,2015,ARC-00022,E.coli cfu/100ml,440
Auckland,2015,ARC-00024,E.coli cfu/100ml,670
Auckland,2015,ARC-00026,E.coli cfu/100ml,400
Auckland,2015,ARC-00027,E.coli cfu/100ml,37
Auckland,2015,ARC-00074,E.coli cfu/100ml,320
Auckland,2015,ARC-00082_NIWA,E.coli cfu/100ml,231
Auckland,2015,ARC-00090,E.coli cfu/100ml,410
Auckland,2015,ARC-00133,E.coli cfu/100ml,545
Auckland,2015,NRWQN-00002_NIWA,E.coli cfu/100ml,126.65
Auckland,2016,ARC-00001,E.coli cfu/100ml,36
Auckland,2016,ARC-00003,E.coli cfu/100ml,380
Auckland,2016,ARC-00004,E.coli cfu/100ml,365
Auckland,2016,ARC-00005,E.coli cfu/100ml,270
Auckland,2016,ARC-00006,E.coli cfu/100ml,210
Auckland,2016,ARC-00008,E.coli cfu/100ml,210
Auckland,2016,ARC-00010,E.coli cfu/100ml,850
Auckland,2016,ARC-00011,E.coli cfu/100ml,520
Auckland,2016,ARC-00013,E.coli cfu/100ml,460
Auckland,2016,ARC-00015,E.coli cfu/100ml,945
Auckland,2016,ARC-00016,E.coli cfu/100ml,915
Auckland,2016,ARC-00017,E.coli cfu/100ml,335
Auckland,2016,ARC-00018,E.coli cfu/100ml,1765
Auckland,2016,ARC-00019,E.coli cfu/100ml,550
Auckland,2016,ARC-00021,E.coli cfu/100ml,1650
Auckland,2016,ARC-00022,E.coli cfu/100ml,430
Auckland,2016,ARC-00024,E.coli cfu/100ml,670
Auckland,2016,ARC-00026,E.coli cfu/100ml,385
Auckland,2016,ARC-00027,E.coli cfu/100ml,45
Auckland,2016,ARC-00074,E.coli cfu/100ml,335
Auckland,2016,ARC-00082_NIWA,E.coli cfu/100ml,218.7
Auckland,2016,ARC-00090,E.coli cfu/100ml,395
Auckland,2016,ARC-00133,E.coli cfu/100ml,520
Auckland,2016,NRWQN-00002_NIWA,E.coli cfu/100ml,128.5
Auckland,2017,ARC-00001,E.coli cfu/100ml,37
Auckland,2017,ARC-00003,E.coli cfu/100ml,375
Auckland,2017,ARC-00004,E.coli cfu/100ml,365
Auckland,2017,ARC-00005,E.coli cfu/100ml,285
Auckland,2017,ARC-00006,E.coli cfu/100ml,230
Auckland,2017,ARC-00008,E.coli cfu/100ml,200
Auckland,2017,ARC-00010,E.coli cfu/100ml,790.5
Auckland,2017,ARC-00011,E.coli cfu/100ml,520
Auckland,2017,ARC-00013,E.coli cfu/100ml,450
Auckland,2017,ARC-00015,E.coli cfu/100ml,800
Auckland,2017,ARC-00016,E.coli cfu/100ml,915
Auckland,2017,ARC-00017,E.coli cfu/100ml,355
Auckland,2017,ARC-00018,E.coli cfu/100ml,1450
Auckland,2017,ARC-00019,E.coli cfu/100ml,480
Auckland,2017,ARC-00021,E.coli cfu/100ml,1300
Auckland,2017,ARC-00022,E.coli cfu/100ml,370
Auckland,2017,ARC-00024,E.coli cfu/100ml,620
Auckland,2017,ARC-00026,E.coli cfu/100ml,360
Auckland,2017,ARC-00027,E.coli cfu/100ml,36
Auckland,2017,ARC-00074,E.coli cfu/100ml,355
Auckland,2017,ARC-00082_NIWA,E.coli cfu/100ml,217.35
Auckland,2017,ARC-00090,E.coli cfu/100ml,340
Auckland,2017,ARC-00133,E.coli cfu/100ml,520
Auckland,2017,NRWQN-00002_NIWA,E.coli cfu/100ml,130.45
Auckland,2018,ARC-00001,E.coli cfu/100ml,36
