Region,Year,Ammoniacal nitrogen (g/m3),Nitrate-nitrite nitrogen (g/m3)
Auckland,2002,0.05,0.45
Auckland,2003,0.05,0.53
Auckland,2004,0.05,0.54
Auckland,2005,0.04,0.49
Auckland,2006,0.04,0.47
Auckland,2007,0.04,0.45
Auckland,2008,0.04,0.44
Auckland,2009,0.04,0.44
Auckland,2010,0.04,0.41
Auckland,2011,0.04,0.38
Auckland,2012,0.03,0.36
Auckland,2013,0.03,0.35
Auckland,2014,0.03,0.34
Auckland,2015,0.03,0.34
Auckland,2016,0.03,0.3
Auckland,2017,0.03,0.3
Auckland,2018,0.03,0.78
Auckland,2019,0.03,0.8
Bay of Plenty,2002,0.03,0.31
Bay of Plenty,2003,0.02,0.31
Bay of Plenty,2004,0.02,0.29
Bay of Plenty,2005,0.02,0.29
Bay of Plenty,2006,0.02,0.3
Bay of Plenty,2007,0.02,0.3
Bay of Plenty,2008,0.02,0.31
Bay of Plenty,2009,0.02,0.31
Bay of Plenty,2010,0.02,0.32
Bay of Plenty,2011,0.02,0.32
Bay of Plenty,2012,0.02,0.33
Bay of Plenty,2013,0.02,0.36
Bay of Plenty,2014,0.02,0.37
Bay of Plenty,2015,0.02,0.39
Bay of Plenty,2016,0.02,0.42
Bay of Plenty,2017,0.02,0.42
Bay of Plenty,2018,0.02,0.47
Bay of Plenty,2019,0.02,0.5
Canterbury,2002,0.03,0.83
Canterbury,2003,0.03,1.14
Canterbury,2004,0.01,1.15
Canterbury,2005,0.01,1.13
Canterbury,2006,0.02,0.82
Canterbury,2007,0.02,0.78
Canterbury,2008,0.02,0.8
Canterbury,2009,0.02,0.82
Canterbury,2010,0.02,0.78
Canterbury,2011,0.02,1.26
Canterbury,2012,0.02,1.36
Canterbury,2013,0.01,1.45
Canterbury,2014,0.01,1.32
Canterbury,2015,0.01,1.34
Canterbury,2016,0.02,1.21
Canterbury,2017,0.02,1.22
Canterbury,2018,0.02,1.24
Canterbury,2019,0.02,1.25
Gisborne,2002,NA,0.1
Gisborne,2003,NA,0.12
Gisborne,2004,0.01,0.13
Gisborne,2005,0.01,0.12
Gisborne,2006,0.01,0.13
Gisborne,2007,0.01,0.13
Gisborne,2008,0.01,0.13
Gisborne,2009,0.01,0.13
Gisborne,2010,0.01,0.13
Gisborne,2011,0.01,0.12
Gisborne,2012,0.01,0.18
Gisborne,2013,0.02,0.16
Gisborne,2014,0.02,0.16
Gisborne,2015,0.02,0.14
Gisborne,2016,0.02,0.14
Gisborne,2017,0.02,0.18
Gisborne,2018,0.02,0.19
Gisborne,2019,0.02,0.18
Hawke's Bay,2002,0.03,0.17
Hawke's Bay,2003,0.03,0.17
Hawke's Bay,2004,0.02,0.21
Hawke's Bay,2005,0.02,0.27
Hawke's Bay,2006,0.01,0.27
Hawke's Bay,2007,0.01,0.28
Hawke's Bay,2008,0.01,0.3
Hawke's Bay,2009,0.01,0.28
Hawke's Bay,2010,0.01,0.37
Hawke's Bay,2011,0.01,0.45
Hawke's Bay,2012,0.01,0.47
Hawke's Bay,2013,0.01,0.45
Hawke's Bay,2014,0.01,0.44
Hawke's Bay,2015,0.01,0.41
Hawke's Bay,2016,0.01,0.42
Hawke's Bay,2017,0.01,0.47
Hawke's Bay,2018,0.01,0.41
Hawke's Bay,2019,0.01,0.39
Manawatū-Whanganui,2002,NA,0.29
Manawatū-Whanganui,2003,NA,0.32
Manawatū-Whanganui,2004,0.02,0.33
Manawatū-Whanganui,2005,0.02,0.31
Manawatū-Whanganui,2006,0.02,0.31
Manawatū-Whanganui,2007,0.02,0.31
Manawatū-Whanganui,2008,0.02,0.31
Manawatū-Whanganui,2009,0.03,0.37
Manawatū-Whanganui,2010,0.03,1.07
Manawatū-Whanganui,2011,0.02,0.34
Manawatū-Whanganui,2012,0.02,0.33
Manawatū-Whanganui,2013,0.02,0.31
Manawatū-Whanganui,2014,0.01,0.27
Manawatū-Whanganui,2015,0.02,0.29
Manawatū-Whanganui,2016,0.03,0.36
Manawatū-Whanganui,2017,0.03,0.35
Manawatū-Whanganui,2018,0.03,0.35
Manawatū-Whanganui,2019,0.03,0.36
Marlborough,2002,NA,0.03
Marlborough,2003,NA,0.03
Marlborough,2004,0,0.04
Marlborough,2005,0,0.03
Marlborough,2006,0,0.03
Marlborough,2007,0,0.04
Marlborough,2008,0,0.04
Marlborough,2009,0,0.05
Marlborough,2010,0,0.05
Marlborough,2011,0,0.05
Marlborough,2012,0,0.06
Marlborough,2013,0,0.06
Marlborough,2014,0,0.06
Marlborough,2015,0,0.06
Marlborough,2016,0,0.22
Marlborough,2017,0,0.3
Marlborough,2018,0,0.35
Marlborough,2019,0,0.33
Nelson,2009,NA,0.19
Nelson,2010,NA,0.19
Nelson,2011,0.01,0.18
Nelson,2012,0.01,0.19
Nelson,2013,0.01,0.2
Nelson,2014,0,0.17
Nelson,2015,0,0.18
Nelson,2016,0,0.19
Nelson,2017,0,0.21
Nelson,2018,0.01,0.22
Nelson,2019,0,0.23
Northland,2002,NA,0.22
Northland,2003,NA,0.22
Northland,2004,0.02,0.22
Northland,2005,0.02,0.15
Northland,2006,0.03,0.23
Northland,2007,0.03,0.22
Northland,2008,0.02,0.23
Northland,2009,0.02,0.23
Northland,2010,0.02,0.24
Northland,2011,0.02,0.2
Northland,2012,0.01,0.2
Northland,2013,0.01,0.19
Northland,2014,0.01,0.19
Northland,2015,0.01,0.19
Northland,2016,0.01,0.25
Northland,2017,0.01,0.26
Northland,2018,0.01,0.25
Northland,2019,0.01,0.25
Otago,2002,0.01,0.12
Otago,2003,0.17,0.14
Otago,2004,0.06,0.13
Otago,2005,0.05,0.12
Otago,2006,0.03,0.23
Otago,2007,0.03,0.17
