Region,Year,Units,Water_Categ,Ammoniacal nitrogen,E.coli,Nitrate-nitrite nitrogen
Auckland,2002,g/m3,River Quality,0.77,NA,8.14
Auckland,2003,g/m3,River Quality,0.88,NA,10.7
Auckland,2004,g/m3,Groundwater Quality,NA,NA,57.56
Auckland,2004,g/m3,River Quality,0.92,NA,10.7
Auckland,2005,cfu/100ml,Groundwater Quality,NA,42,NA
Auckland,2005,g/m3,Groundwater Quality,NA,NA,58.64
Auckland,2005,g/m3,River Quality,0.99,NA,10.83
Auckland,2006,cfu/100ml,Groundwater Quality,NA,891,NA
Auckland,2006,g/m3,Groundwater Quality,NA,NA,58.85
Auckland,2006,g/m3,River Quality,0.97,NA,10.26
Auckland,2007,cfu/100ml,Groundwater Quality,NA,7550,NA
Auckland,2007,g/m3,Groundwater Quality,NA,NA,66.76
Auckland,2007,g/m3,River Quality,0.94,NA,9.85
Auckland,2008,cfu/100ml,Groundwater Quality,NA,408,NA
Auckland,2008,g/m3,Groundwater Quality,NA,NA,246.34
Auckland,2008,g/m3,River Quality,0.93,NA,9.77
Auckland,2009,cfu/100ml,Groundwater Quality,NA,230,NA
Auckland,2009,cfu/100ml,River Quality,NA,6885,NA
Auckland,2009,g/m3,Groundwater Quality,NA,NA,272.06
Auckland,2009,g/m3,River Quality,0.86,NA,9.17
Auckland,2010,cfu/100ml,Groundwater Quality,NA,116,NA
Auckland,2010,cfu/100ml,River Quality,NA,6520,NA
Auckland,2010,g/m3,Groundwater Quality,NA,NA,129.15
Auckland,2010,g/m3,River Quality,0.87,NA,9.07
Auckland,2011,cfu/100ml,Groundwater Quality,NA,172,NA
Auckland,2011,cfu/100ml,River Quality,NA,6300,NA
Auckland,2011,g/m3,Groundwater Quality,NA,NA,166.54
Auckland,2011,g/m3,River Quality,0.83,NA,8.7
Auckland,2012,cfu/100ml,Groundwater Quality,NA,49.6,NA
Auckland,2012,cfu/100ml,River Quality,NA,5750,NA
Auckland,2012,g/m3,Groundwater Quality,NA,NA,320.24
Auckland,2012,g/m3,River Quality,0.87,NA,8.94
Auckland,2013,cfu/100ml,Groundwater Quality,NA,150.9,NA
Auckland,2013,cfu/100ml,River Quality,NA,6200,NA
Auckland,2013,g/m3,Groundwater Quality,NA,NA,188.91
Auckland,2013,g/m3,River Quality,0.83,NA,8.82
Auckland,2014,cfu/100ml,Groundwater Quality,NA,582.4,NA
Auckland,2014,cfu/100ml,River Quality,NA,6606.9,NA
Auckland,2014,g/m3,Groundwater Quality,NA,NA,293.75
Auckland,2014,g/m3,River Quality,0.8,NA,8.62
Auckland,2015,cfu/100ml,Groundwater Quality,NA,232.7,NA
Auckland,2015,cfu/100ml,River Quality,NA,15869.65,NA
Auckland,2015,g/m3,Groundwater Quality,NA,NA,406.54
Auckland,2015,g/m3,River Quality,0.79,NA,8.46
Auckland,2016,cfu/100ml,Groundwater Quality,NA,665.1,NA
Auckland,2016,cfu/100ml,River Quality,NA,12588.2,NA
Auckland,2016,g/m3,Groundwater Quality,NA,NA,360.16
Auckland,2016,g/m3,River Quality,0.71,NA,7.21
Auckland,2017,cfu/100ml,Groundwater Quality,NA,320,NA
Auckland,2017,cfu/100ml,River Quality,NA,11501.3,NA
Auckland,2017,g/m3,Groundwater Quality,NA,NA,397.65
Auckland,2017,g/m3,River Quality,0.73,NA,7.26
Auckland,2018,cfu/100ml,Groundwater Quality,NA,761,NA
Auckland,2018,cfu/100ml,River Quality,NA,13498.6,NA
Auckland,2018,g/m3,Groundwater Quality,NA,NA,389.64
Auckland,2018,g/m3,River Quality,0.82,NA,24.08
Auckland,2019,cfu/100ml,Groundwater Quality,NA,1626,NA
Auckland,2019,cfu/100ml,River Quality,NA,16359.6,NA
Auckland,2019,g/m3,Groundwater Quality,NA,NA,365.54
Auckland,2019,g/m3,River Quality,0.83,NA,24
Bay of Plenty,2002,cfu/100ml,River Quality,NA,564,NA
Bay of Plenty,2002,g/m3,River Quality,0.21,NA,3.67
Bay of Plenty,2003,cfu/100ml,River Quality,NA,607.5,NA
Bay of Plenty,2003,g/m3,River Quality,0.12,NA,3.4
Bay of Plenty,2004,cfu/100ml,River Quality,NA,626.5,NA
Bay of Plenty,2004,g/m3,River Quality,0.2,NA,3.49
Bay of Plenty,2005,cfu/100ml,River Quality,NA,624,NA
Bay of Plenty,2005,g/m3,River Quality,0.2,NA,3.52
Bay of Plenty,2006,cfu/100ml,River Quality,NA,620,NA
Bay of Plenty,2006,g/m3,River Quality,0.2,NA,3.55
Bay of Plenty,2007,cfu/100ml,River Quality,NA,664,NA
Bay of Plenty,2007,g/m3,River Quality,0.2,NA,3.61
Bay of Plenty,2008,cfu/100ml,River Quality,NA,654,NA
Bay of Plenty,2008,g/m3,River Quality,0.2,NA,3.68
Bay of Plenty,2009,cfu/100ml,River Quality,NA,601,NA
Bay of Plenty,2009,g/m3,Groundwater Quality,NA,NA,3
Bay of Plenty,2009,g/m3,River Quality,0.2,NA,3.77
Bay of Plenty,2010,cfu/100ml,River Quality,NA,612,NA
Bay of Plenty,2010,g/m3,Groundwater Quality,NA,NA,3.62
Bay of Plenty,2010,g/m3,River Quality,0.2,NA,3.81
